	score	l_child_score	r_child_score	phrase_length	pred_score	pred_phrase_length
237	2	2	2	2	2	2
238	4	2	4	1	4	1
239	2	2	2	1	2	1
240	2	2	2	1	2	1
241	3	4	3	16	3	16
242	4	2	4	6	3	6
243	3	3	2	9	3	9
244	2	2	2	2	2	2
245	4	3	3	3	3	3
246	3	2	3	8	3	8
247	2	2	2	1	2	1
248	3	2	3	2	2	2
249	3	2	2	7	3	7
250	3	2	4	1	2	1
251	2	2	3	6	3	6
252	3	2	2	5	3	5
253	2	2	2	4	3	4
254	2	2	3	3	3	3
255	3	2	2	2	3	2
256	2	2	2	1	2	1
257	4	3	2	10	3	10
258	3	2	4	9	4	9
259	4	3	4	8	4	8
260	3	2	2	1	3	1
261	4	2	4	6	3	6
262	4	3	3	5	3	5
263	3	2	3	2	3	2
264	3	2	3	2	3	2
265	3	4	2	1	3	1
266	3	3	2	1	3	1
267	4	3	2	8	3	8
268	3	2	4	7	3	7
269	4	3	2	6	3	6
270	3	4	3	5	4	5
271	3	2	3	4	3	4
272	3	3	3	3	3	3
273	3	2	3	2	2	2
274	3	2	3	1	2	1
275	4	3	3	36	3	36
276	3	2	4	13	2	13
277	3	2	3	22	4	22
278	4	2	3	12	2	12
279	3	3	4	21	4	21
280	2	2	2	1	2	1
281	3	2	3	10	2	10
282	3	4	4	2	3	2
283	4	3	2	18	3	18
284	3	2	3	9	2	9
285	4	3	2	1	3	1
286	3	2	3	17	3	17
287	3	2	4	8	2	8
288	2	2	3	1	2	1
289	3	2	3	15	3	15
290	4	2	3	7	2	7
291	3	2	3	14	3	14
292	3	3	2	6	2	6
293	3	2	4	13	3	13
294	3	2	3	2	2	2
295	2	2	2	3	2	3
296	4	2	3	12	3	12
297	3	2	2	1	2	1
298	2	2	3	2	2	2
299	2	3	2	3	2	3
300	3	1	3	8	3	8
301	3	2	2	1	3	1
302	3	2	2	2	2	2
303	3	4	2	7	3	7
304	2	2	2	1	2	1
305	2	2	2	6	2	6
306	2	2	2	5	2	5
307	2	2	2	4	2	4
308	2	2	2	3	2	3
309	2	2	2	2	2	2
310	2	2	2	1	2	1
311	2	2	2	15	3	15
312	2	3	3	10	3	10
313	2	2	2	4	2	4
314	3	2	2	5	3	5
315	3	2	2	4	2	4
316	2	2	2	3	2	3
317	2	2	2	4	3	4
318	2	3	2	3	2	3
319	2	2	2	2	2	2
320	2	2	4	3	3	3
321	3	3	2	2	2	2
322	2	2	2	1	2	1
323	2	1	2	1	1	1
324	4	2	3	1	4	1
325	3	2	2	1	2	1
326	3	3	4	22	1	22
327	3	1	2	11	2	11
328	4	2	3	10	1	10
329	1	2	3	2	2	2
330	2	2	3	8	2	8
331	3	2	3	9	1	9
332	3	2	2	1	3	1
333	2	2	2	1	2	1
334	3	2	3	6	2	6
335	3	3	2	8	1	8
336	2	2	2	3	2	3
337	3	2	2	2	2	2
338	3	2	3	7	2	7
339	2	2	2	2	2	2
340	2	2	2	1	3	1
341	3	3	2	6	1	6
342	2	2	2	1	2	1
343	3	2	3	2	2	2
344	2	2	2	3	2	3
345	3	3	2	1	2	1
346	2	1	2	2	2	2
347	2	2	2	1	2	1
348	3	2	2	15	3	15
349	2	3	4	14	3	14
350	3	2	2	3	2	3
351	4	2	3	10	3	10
352	2	2	1	2	2	2
353	3	2	3	9	3	9
354	1	2	2	1	1	1
355	3	2	3	8	3	8
356	3	2	3	7	3	7
357	3	2	4	6	3	6
358	4	2	3	5	3	5
359	3	2	4	4	3	4
360	4	3	3	3	3	3
361	3	3	3	2	4	2
362	3	3	2	1	3	1
363	3	2	4	8	3	8
364	2	2	2	1	2	1
365	4	2	3	6	3	6
366	3	2	3	5	3	5
367	3	3	2	4	3	4
368	3	2	4	3	4	3
369	2	2	2	1	2	1
370	4	2	3	1	4	1
371	3	3	3	13	4	13
372	3	3	2	4	3	4
373	3	4	2	8	3	8
374	3	2	2	3	3	3
375	4	2	2	7	3	7
376	2	2	2	2	3	2
377	2	2	1	1	2	1
378	2	2	2	5	3	5
379	2	4	2	1	2	1
380	2	2	1	3	3	3
381	2	2	2	1	3	1
382	1	2	2	2	3	2
383	2	2	2	1	2	1
384	3	2	3	18	3	18
385	2	2	2	3	2	3
386	3	2	4	14	3	14
387	2	2	2	2	2	2
388	4	2	3	13	3	13
389	2	2	2	1	2	1
390	2	3	2	1	2	1
391	3	2	2	11	3	11
392	2	3	2	10	3	10
393	3	2	3	6	3	6
394	2	2	2	3	2	3
395	3	2	2	5	3	5
396	2	2	2	2	2	2
397	2	2	3	2	3	2
398	2	2	3	2	3	2
399	2	2	2	1	2	1
400	3	3	2	1	3	1
401	3	2	2	1	3	1
402	1	1	0	22	1	22
403	0	2	1	21	1	21
404	1	2	1	20	1	20
405	1	1	2	19	1	19
406	1	1	3	18	1	18
407	3	3	3	17	3	17
408	3	2	2	1	3	1
409	3	4	2	15	3	15
410	4	2	3	2	4	2
411	2	2	2	12	2	12
412	3	3	3	1	4	1
413	2	2	2	11	2	11
414	2	3	2	10	2	10
415	3	2	2	6	2	6
416	2	2	2	3	2	3
417	2	2	2	3	2	3
418	2	2	2	2	2	2
419	2	2	2	2	2	2
420	2	2	2	2	2	2
421	2	3	2	1	2	1
422	2	3	2	1	2	1
423	2	2	2	1	2	1
424	3	3	2	21	1	21
425	3	3	2	20	1	20
426	3	2	2	6	1	6
427	2	2	2	13	1	13
428	2	2	2	5	1	5
429	2	2	1	4	2	4
430	2	2	2	8	2	8
431	2	2	2	4	1	4
432	1	2	2	3	2	3
433	2	2	2	7	2	7
434	2	2	2	3	1	3
435	2	2	2	2	2	2
436	2	2	2	6	2	6
437	2	2	4	2	2	2
438	2	2	2	1	2	1
439	2	2	2	5	2	5
440	2	2	2	1	2	1
441	2	2	2	4	2	4
442	2	2	2	3	2	3
443	2	2	2	2	2	2
444	2	3	2	1	2	1
445	4	4	2	12	3	12
446	4	3	3	11	2	11
447	3	2	3	10	2	10
448	3	2	3	9	2	9
449	3	2	2	8	2	8
450	2	2	2	7	2	7
451	2	2	2	6	2	6
452	2	2	2	5	2	5
453	2	2	2	4	2	4
454	2	2	2	3	2	3
455	2	2	2	2	3	2
456	2	2	2	1	2	1
457	4	4	3	19	4	19
458	4	4	2	13	3	13
459	3	3	2	5	3	5
460	4	3	2	12	4	12
461	3	3	2	4	3	4
462	3	4	2	7	4	7
463	2	3	2	4	3	4
464	2	2	2	3	3	3
465	4	4	4	6	4	6
466	2	2	1	3	3	3
467	2	2	2	2	3	2
468	4	2	4	2	4	2
469	4	2	4	3	3	3
470	1	2	2	2	3	2
471	2	2	2	1	2	1
472	4	4	2	1	4	1
473	4	2	4	2	3	2
474	2	2	2	1	2	1
475	4	2	2	1	3	1
476	2	2	2	5	1	5
477	2	2	1	4	2	4
478	2	2	2	1	2	1
479	1	3	0	2	2	2
480	3	3	2	1	3	1
481	3	2	1	28	1	28
482	2	2	3	13	2	13
483	1	2	2	14	1	14
484	3	2	3	12	1	12
485	2	2	2	13	1	13
486	3	2	2	11	1	11
487	2	2	2	12	1	12
488	2	2	3	10	1	10
489	2	2	2	11	1	11
490	3	2	3	9	1	9
491	2	2	2	10	1	10
492	3	2	2	8	1	8
493	2	2	2	9	1	9
494	2	2	2	7	1	7
495	2	2	2	8	1	8
496	2	2	2	6	2	6
497	2	2	1	7	1	7
498	2	2	2	5	2	5
499	1	2	2	6	1	6
500	2	2	1	4	2	4
501	2	1	2	5	2	5
502	1	1	2	3	1	3
503	1	2	1	4	2	4
504	1	2	1	1	1	1
505	2	2	2	1	2	1
506	1	1	1	3	2	3
507	1	1	3	2	1	2
508	3	2	3	1	2	1
509	3	2	3	32	3	32
510	2	2	2	16	2	16
511	3	2	3	15	3	15
512	2	2	2	15	2	15
513	3	2	4	14	3	14
514	2	2	2	14	2	14
515	4	2	2	13	3	13
516	2	2	2	13	3	13
517	2	2	3	12	3	12
518	2	2	2	12	3	12
519	3	3	2	11	3	11
520	2	2	2	11	2	11
521	3	2	3	4	3	4
522	2	2	2	6	2	6
523	2	2	2	10	2	10
524	3	3	2	3	3	3
525	2	2	2	5	2	5
526	2	3	2	1	2	1
527	2	2	2	8	2	8
528	3	2	2	2	3	2
529	2	2	2	1	2	1
530	2	2	3	3	2	3
531	2	2	2	2	2	2
532	2	2	2	5	2	5
533	2	2	4	1	3	1
534	3	2	2	2	2	2
535	2	3	2	1	2	1
536	2	2	1	4	2	4
537	2	2	3	1	3	1
538	2	2	2	2	2	2
539	1	2	2	1	2	1
540	2	2	2	1	2	1
541	1	2	0	16	1	16
542	2	2	3	6	2	6
543	0	2	0	9	1	9
544	3	2	3	5	1	5
545	0	2	1	8	1	8
546	3	2	2	4	2	4
547	1	0	2	7	1	7
548	2	2	3	3	2	3
549	0	2	1	6	1	6
550	3	2	4	2	3	2
551	2	1	2	3	2	3
552	1	2	1	2	2	2
553	2	4	2	1	2	1
554	1	2	3	2	2	2
555	1	2	1	1	2	1
556	3	2	1	1	2	1
557	3	2	4	17	3	17
558	4	4	3	16	3	16
559	3	2	2	15	3	15
560	2	2	2	14	2	14
561	2	2	2	7	2	7
562	2	2	2	6	2	6
563	2	2	2	6	2	6
564	2	2	2	1	2	1
565	2	2	2	4	2	4
566	2	2	2	5	2	5
567	2	2	2	3	2	3
568	2	2	2	3	2	3
569	2	2	2	1	2	1
570	2	2	2	2	2	2
571	2	2	2	2	2	2
572	2	2	2	1	2	1
573	2	2	2	1	2	1
574	3	2	3	12	1	12
575	2	2	2	1	2	1
576	3	2	2	10	1	10
577	2	2	3	9	1	9
578	3	2	2	8	1	8
579	2	2	1	7	1	7
580	1	2	2	6	1	6
581	2	2	2	5	1	5
582	2	1	2	4	1	4
583	2	2	2	3	2	3
584	2	2	2	2	2	2
585	2	2	2	1	2	1
586	3	2	4	41	3	41
587	2	2	1	8	3	8
588	4	2	4	32	3	32
589	1	2	1	7	3	7
590	4	2	4	31	3	31
591	1	2	1	6	3	6
592	4	4	2	30	3	30
593	1	2	1	5	3	5
594	4	2	4	29	3	29
595	1	2	4	4	3	4
596	4	4	4	28	3	28
597	2	1	2	1	2	1
598	4	2	4	2	3	2
599	4	2	4	4	3	4
600	4	2	4	23	3	23
601	4	4	2	1	4	1
602	4	3	2	3	3	3
603	4	4	3	22	3	22
604	3	3	3	2	4	2
605	4	4	2	3	3	3
606	3	4	3	18	3	18
607	3	3	2	1	3	1
608	4	2	4	2	4	2
609	4	2	4	2	4	2
610	3	2	3	15	1	15
611	4	2	2	1	3	1
612	4	3	2	1	4	1
613	3	2	3	14	3	14
614	3	3	2	13	3	13
615	2	2	3	12	2	12
616	3	2	2	11	2	11
617	2	2	1	10	2	10
618	1	2	2	9	2	9
619	2	2	3	8	2	8
620	3	2	2	7	2	7
621	2	2	2	6	2	6
622	2	2	2	5	2	5
623	2	2	2	4	2	4
624	2	2	2	3	2	3
625	2	2	2	2	2	2
626	2	2	2	1	2	1
627	1	2	1	21	1	21
628	2	3	2	6	1	6
629	1	2	1	14	1	14
630	2	2	2	5	1	5
631	1	2	0	13	1	13
632	2	2	2	2	2	2
633	2	2	2	2	2	2
634	2	2	2	3	2	3
635	0	0	2	9	1	9
636	2	2	2	1	1	1
637	2	2	2	1	2	1
638	2	2	2	2	2	2
639	0	2	1	8	1	8
640	2	2	2	1	2	1
641	1	2	0	7	2	7
642	0	1	1	6	2	6
643	1	2	1	5	2	5
644	1	2	2	4	2	4
645	2	2	2	3	2	3
646	2	2	2	2	2	2
647	2	2	2	1	1	1
648	2	1	1	13	1	13
649	1	2	2	5	2	5
650	1	2	2	7	1	7
651	2	2	2	2	2	2
652	2	2	2	2	2	2
653	2	2	2	6	1	6
654	2	2	2	1	2	1
655	2	2	2	1	2	1
656	2	2	2	5	1	5
657	2	2	2	4	2	4
658	2	1	2	3	2	3
659	2	2	2	2	2	2
660	2	2	2	1	2	1
661	4	2	3	19	3	19
662	3	4	2	18	3	18
663	4	4	3	17	3	17
664	4	3	2	7	3	7
665	3	2	2	9	2	9
666	3	4	2	6	3	6
667	2	2	2	1	2	1
668	2	2	2	7	2	7
669	4	3	3	5	3	5
670	2	3	2	6	2	6
671	3	2	2	2	3	2
672	3	2	2	2	2	2
673	3	2	2	4	2	4
674	2	2	2	1	2	1
675	2	2	2	1	2	1
676	2	2	2	1	2	1
677	2	2	2	3	2	3
678	2	2	2	2	2	2
679	2	4	2	1	2	1
680	0	2	1	21	1	21
681	2	2	2	1	2	1
682	1	0	2	19	1	19
683	0	1	0	18	1	18
684	1	1	2	2	1	2
685	0	2	1	15	3	15
686	2	2	1	1	2	1
687	1	3	1	14	3	14
688	3	2	2	3	3	3
689	1	2	0	10	2	10
690	2	1	3	2	3	2
691	0	2	0	9	2	9
692	3	4	2	1	3	1
693	0	1	2	8	2	8
694	1	2	1	2	2	2
695	2	2	2	5	2	5
696	1	2	2	1	2	1
697	2	2	2	4	2	4
698	2	2	2	1	2	1
699	2	2	2	2	2	2
700	2	2	2	1	2	1
701	4	2	4	13	3	13
702	2	2	2	3	2	3
703	4	2	4	9	3	9
704	2	2	2	2	2	2
705	4	2	4	8	3	8
706	2	2	2	1	2	1
707	4	2	4	7	3	7
708	4	2	4	6	3	6
709	4	4	2	5	3	5
710	4	2	3	4	3	4
711	3	2	3	3	3	3
712	3	3	2	2	3	2
713	3	3	3	1	2	1
714	4	2	4	15	1	15
715	4	3	2	14	1	14
716	3	2	3	13	2	13
717	2	2	2	1	2	1
718	3	2	4	11	3	11
719	4	2	4	10	3	10
720	4	4	3	9	3	9
721	4	3	3	6	3	6
722	3	2	3	2	3	2
723	3	2	2	2	2	2
724	3	2	3	3	3	3
725	3	4	2	1	3	1
726	2	2	3	1	2	1
727	3	3	2	2	3	2
728	3	2	4	1	3	1
729	3	2	3	17	3	17
730	2	2	2	1	2	1
731	3	3	2	15	3	15
732	3	4	2	14	3	14
733	4	2	3	9	3	9
734	2	2	2	4	2	4
735	3	3	2	8	3	8
736	2	2	2	3	2	3
737	3	2	3	2	3	2
738	2	2	3	5	2	5
739	2	2	2	2	2	2
740	3	3	2	1	3	1
741	3	2	2	4	2	4
742	2	2	2	1	2	1
743	2	2	2	1	2	1
744	2	2	2	2	2	2
745	2	2	2	1	2	1
746	2	3	2	28	1	28
747	3	2	2	3	2	3
748	2	2	2	24	1	24
749	2	2	2	1	2	1
750	2	2	2	1	2	1
751	2	2	2	23	1	23
752	2	2	2	22	1	22
753	2	2	2	1	2	1
754	2	2	2	20	2	20
755	2	2	2	19	2	19
756	2	2	2	18	2	18
757	2	3	2	17	2	17
758	3	2	2	2	2	2
759	2	2	2	14	2	14
760	2	2	2	1	2	1
761	2	2	2	4	2	4
762	2	1	2	9	2	9
763	2	2	2	3	2	3
764	1	2	2	1	2	1
765	2	2	2	7	2	7
766	2	2	2	2	2	2
767	2	2	2	6	2	6
768	2	2	2	1	2	1
769	2	2	2	1	3	1
770	2	2	2	4	2	4
771	2	2	2	2	3	2
772	2	2	2	1	3	1
773	2	2	2	1	2	1
774	4	2	4	12	3	12
775	4	4	2	11	3	11
776	4	3	4	10	3	10
777	4	4	2	9	3	9
778	4	2	4	2	4	2
779	2	2	3	6	2	6
780	4	4	2	1	4	1
781	3	2	2	5	2	5
782	2	2	2	4	2	4
783	2	2	2	1	2	1
784	2	2	2	2	2	2
785	2	2	2	1	2	1
786	3	4	2	23	3	23
787	4	3	2	22	2	22
788	3	2	2	3	3	3
789	2	3	3	18	2	18
790	2	2	2	2	3	2
791	3	3	2	3	2	3
792	3	2	3	14	2	14
793	2	3	2	1	3	1
794	3	2	2	2	2	2
795	3	3	2	13	2	13
796	2	3	2	1	2	1
797	3	2	3	4	2	4
798	2	2	2	8	1	8
799	2	2	3	1	2	1
800	3	2	3	2	3	2
801	2	2	2	7	1	7
802	3	3	2	1	2	1
803	2	2	2	1	2	1
804	2	2	2	5	1	5
805	2	2	2	2	2	2
806	2	2	2	2	2	2
807	2	2	3	1	2	1
808	2	2	2	1	2	1
809	4	3	2	7	3	7
810	3	3	3	6	3	6
811	3	2	3	5	3	5
812	2	1	2	2	3	2
813	3	2	3	2	3	2
814	1	2	2	1	2	1
815	3	3	2	1	3	1
816	3	3	2	37	3	37
817	3	2	3	36	3	36
818	2	2	2	17	1	17
819	3	2	4	18	3	18
820	2	2	2	16	2	16
821	4	3	3	17	3	17
822	2	2	2	15	2	15
823	3	3	2	4	3	4
824	3	2	2	12	2	12
825	2	2	2	14	2	14
826	3	2	3	2	3	2
827	2	2	1	1	2	1
828	2	2	3	11	2	11
829	2	2	2	13	2	13
830	2	2	2	1	2	1
831	2	2	2	1	2	1
832	3	2	3	9	2	9
833	2	2	2	12	2	12
834	3	2	3	8	2	8
835	2	2	2	11	1	11
836	3	2	2	7	2	7
837	2	2	2	6	2	6
838	2	2	2	4	2	4
839	2	3	2	6	2	6
840	2	2	2	5	1	5
841	2	2	2	3	2	3
842	3	2	2	1	3	1
843	2	1	2	4	2	4
844	2	2	2	3	2	3
845	2	2	2	1	2	1
846	2	2	2	1	2	1
847	2	2	2	1	2	1
848	2	2	2	3	2	3
849	2	2	1	2	2	2
850	2	2	2	2	2	2
851	1	2	2	1	2	1
852	2	2	2	1	2	1
853	3	3	2	8	3	8
854	3	3	2	7	3	7
855	3	2	3	2	3	2
856	2	2	2	4	3	4
857	3	4	2	1	3	1
858	2	2	2	3	3	3
859	2	2	2	1	2	1
860	2	2	3	1	2	1
861	3	1	3	12	1	12
862	1	2	1	7	1	7
863	3	2	3	4	3	4
864	1	2	1	6	1	6
865	3	2	2	3	3	3
866	1	2	2	5	1	5
867	2	2	2	1	2	1
868	2	2	2	1	3	1
869	2	2	2	4	1	4
870	2	0	2	3	1	3
871	2	2	2	2	2	2
872	2	1	2	1	2	1
873	3	2	4	19	3	19
874	2	2	2	1	2	1
875	4	4	2	17	3	17
876	4	3	3	16	3	16
877	3	2	2	2	2	2
878	3	3	3	13	3	13
879	2	2	2	1	2	1
880	3	2	3	12	3	12
881	3	2	2	11	3	11
882	2	2	3	10	3	10
883	3	2	3	9	3	9
884	3	4	1	8	3	8
885	1	2	2	7	2	7
886	2	2	2	6	2	6
887	2	2	2	5	2	5
888	2	2	2	4	2	4
889	2	2	2	3	2	3
890	2	2	2	2	2	2
891	2	2	2	1	2	1
892	4	2	4	10	3	10
893	2	2	2	4	2	4
894	4	3	2	5	3	5
895	2	2	2	3	2	3
896	3	2	4	4	3	4
897	2	2	2	2	2	2
898	4	2	3	3	3	3
899	2	2	2	1	2	1
900	3	2	3	2	3	2
901	3	3	2	1	3	1
902	3	2	3	21	3	21
903	2	2	2	1	2	1
904	3	3	2	19	3	19
905	2	3	2	18	2	18
906	3	2	3	17	2	17
907	3	2	2	16	2	16
908	2	2	2	1	2	1
909	2	2	2	14	2	14
910	2	2	2	13	2	13
911	2	2	3	12	3	12
912	3	2	1	11	3	11
913	1	0	2	10	3	10
914	0	2	1	3	2	3
915	2	2	2	6	2	6
916	1	3	1	2	2	2
917	2	2	2	5	2	5
918	3	2	2	1	3	1
919	2	2	2	4	2	4
920	2	2	2	1	2	1
921	2	2	2	2	2	2
922	2	2	3	1	2	1
923	3	2	3	23	3	23
924	2	2	3	13	2	13
925	3	2	3	9	3	9
926	3	2	3	12	2	12
927	3	2	3	8	3	8
928	2	2	2	3	2	3
929	3	3	2	8	2	8
930	2	2	2	1	2	1
931	3	3	2	6	3	6
932	2	2	2	2	2	2
933	3	3	2	2	2	2
934	2	1	2	5	2	5
935	3	2	3	5	3	5
936	2	2	2	1	2	1
937	2	2	2	1	2	1
938	2	2	3	4	2	4
939	3	2	3	4	3	4
940	2	3	2	3	2	3
941	2	2	2	2	2	2
942	3	2	2	1	2	1
943	2	2	2	2	3	2
944	2	2	2	1	2	1
945	2	1	3	1	2	1
946	3	3	3	20	3	20
947	3	2	2	9	2	9
948	3	2	4	10	3	10
949	2	2	1	8	2	8
950	4	2	3	9	3	9
951	1	2	0	7	2	7
952	3	3	2	8	3	8
953	0	2	1	6	2	6
954	3	3	2	7	3	7
955	2	2	2	1	2	1
956	1	2	1	4	1	4
957	3	3	2	6	2	6
958	1	2	2	3	2	3
959	3	2	2	5	2	5
960	2	2	1	1	2	1
961	2	2	2	1	2	1
962	2	2	2	3	2	3
963	2	2	2	1	2	1
964	2	2	2	2	2	2
965	2	3	2	1	2	1
966	2	2	1	14	3	14
967	1	2	2	13	2	13
968	2	2	2	12	2	12
969	2	3	1	11	2	11
970	3	2	2	2	2	2
971	1	2	2	8	2	8
972	2	2	3	1	3	1
973	2	2	1	7	2	7
974	1	2	0	6	2	6
975	0	1	2	5	2	5
976	1	2	1	1	2	1
977	2	2	2	3	2	3
978	2	2	2	2	2	2
979	2	2	2	1	2	1
980	3	3	2	11	3	11
981	3	3	3	10	3	10
982	3	3	2	4	3	4
983	3	3	4	5	3	5
984	3	2	3	3	3	3
985	3	2	2	1	2	1
986	4	2	4	3	3	3
987	3	4	2	2	3	2
988	4	3	2	2	3	2
989	2	2	2	1	2	1
990	2	2	2	1	2	1
991	3	2	4	13	3	13
992	4	4	2	12	3	12
993	4	2	4	11	3	11
994	4	4	2	10	3	10
